"year","station","julian"
2021,"I-19",177
2021,"IH2019",177
2021,"H-19",177
2021,"F-14",151
2021,"G-14",151
2021,"H-14",153
2021,"H-15",151
2021,"I-15",152
2021,"I-14",153
2021,"I-13",153
2021,"J-13",153
2021,"H-13",152
2021,"G-13",152
2021,"F-13",152
2021,"F-12",154
2021,"E-12",155
2021,"D-10",155
2021,"E-07",159
2021,"F-07",158
2021,"G-07",158
2021,"H-07",158
2021,"H-06",160
2021,"G-06",160
2021,"F-06",160
2021,"E-01",170
2021,"D-01",170
2021,"C-01",170
2021,"B-01",170
2021,"K-24",189
2021,"L-24",189
2021,"L-23",187
2021,"L-22",183
2021,"M-22",183
2021,"M-21",183
2021,"L-21",182
2021,"K-23",187
2021,"E-19",178
2021,"E-20",178
2021,"E-21",179
2021,"F-24",193
2021,"G-25",193
2021,"H-25",194
2021,"I-25",194
2021,"J-25",194
2021,"K-25",194
2021,"L-25",195
2021,"M-25",195
2021,"M-24",189
2021,"M-23",187
2021,"N-23",187
2021,"N-22",183
2021,"O-22",183
2021,"O-23",186
2021,"N-24",189
2021,"N-25",195
2021,"ON2524",189
2021,"O-25",188
2021,"PO2625",188
2021,"PO2524",186
2021,"O-24",186
2021,"PO2423",186
2021,"P-23",184
2021,"P-22",183
2021,"Q-21",184
2021,"Q-22",184
2021,"R-22",184
2021,"S-24",186
2021,"S-25",186
2021,"T-25",186
2021,"T-26",186
2021,"T-27",201
2021,"U-27",201
2021,"HG2019",178
2021,"G-19",177
2021,"GF2019",178
2021,"G-20",178
2021,"GF2120",179
2021,"HG2221",180
2021,"G-21",179
2021,"E-22",179
2021,"F-22",180
2021,"GF2221",180
2021,"G-22",180
2021,"H-22",180
2021,"D-05",162
2021,"E-05",162
2021,"F-05",162
2021,"G-05",162
2019,"C-06",162
2019,"C-07",162
2019,"D-07",163
2019,"K-14",155
2019,"J-14",155
2019,"I-14",155
2019,"H-14",155
2019,"G-14",155
2019,"G-13",156
2019,"G-12",156
2019,"H-12",156
2019,"I-12",156
2019,"J-12",157
2019,"K-12",157
2019,"K-11",157
2019,"K-10",157
2019,"J-10",157
2019,"I-10",158
2019,"H-10",158
2019,"M-28",203
2019,"L-28",203
2019,"L-29",203
2019,"M-29",204
2019,"N-29",204
2019,"N-30",204
2019,"O-30",204
2019,"O-29",204
2019,"P-29",205
2019,"P-30",205
2019,"P-31",205
2019,"Q-31",205
2019,"R-30",206
2019,"Q-30",206
2019,"Q-29",206
2019,"R-29",206
2019,"S-29",206
2019,"S-28",207
2019,"R-28",207
2019,"R-27",207
2019,"S-26",207
2019,"S-27",208
2019,"T-27",208
2019,"T-26",208
2019,"T-25",208
2019,"U-25",209
2019,"U-26",209
2019,"V-26",209
2019,"V-25",209
2019,"H-16",154
2019,"I-16",154
2019,"J-16",154
2019,"M-27",203
2019,"N-27",201
2019,"O-27",201
2019,"P-27",201
2019,"E-09",160
2019,"D-09",160
2019,"D-08",161
2019,"E-08",161
2019,"F-08",161
2019,"G-08",162
2019,"H-08",162
2019,"I-08",162
2019,"J-08",162
2019,"K-08",162
2019,"O-04",164
2019,"O-03",164
2019,"O-02",164
2019,"N-02",164
2019,"N-03",164
2019,"N-07",165
2019,"N-06",165
2019,"D-02",174
2019,"E-02",175
2019,"E-07",163
2019,"F-07",163
2019,"G-07",163
2019,"H-07",164
2019,"I-07",164
2019,"J-07",164
2019,"K-07",164
2019,"L-07",164
2019,"L-08",165
2019,"M-08",165
2019,"M-07",165
2019,"M-06",165
2019,"L-06",165
2019,"K-06",166
2019,"J-06",166
2019,"I-06",166
2019,"H-06",166
2019,"G-06",166
2019,"F-06",167
2019,"E-06",167
2019,"D-06",167
2019,"D-05",167
2019,"E-05",168
2019,"E-04",168
2019,"D-04",168
2019,"C-04",168
2019,"B-04",168
2019,"A-04",169
2019,"A-02",174
2019,"B-02",174
2019,"C-02",174
2019,"G-10",158
2019,"F-10",158
2019,"E-10",159
2019,"D-10",159
2019,"C-09",159
2019,"C-08",159
2019,"B-08",160
2019,"B-07",160
2019,"B-06",160
2019,"A-06",160
2019,"Z-05",160
2019,"A-05",162
2019,"B-05",162
2019,"C-05",162
2019,"F-03",168
2019,"E-03",168
2019,"D-03",168
2019,"C-03",168
2019,"B-03",168
2019,"A-03",168
2019,"B-01",174
2019,"C-01",174
2019,"C-18",174
2019,"D-18",174
2019,"D-01",174
2019,"E-01",175
2019,"E-18",175
2019,"F-18",175
2019,"F-01",175
2019,"G-01",175
2019,"G-18",176
2019,"H-18",176
2019,"H-01",176
2019,"H-02",176
2019,"H-03",177
2019,"I-03",177
2019,"J-03",177
2019,"K-03",177
2019,"I-02",178
2019,"J-02",178
2019,"K-02",178
2019,"K-01",178
2019,"L-01",178
2019,"K-18",179
2019,"J-18",179
2019,"J-01",179
2019,"I-01",179
2019,"I-18",179
2019,"IH1918",180
2019,"F-02",175
2019,"G-02",175
2019,"G-03",175
2019,"G-04",176
2019,"G-15",154
2019,"H-15",154
2019,"I-15",154
2019,"J-15",154
2019,"K-13",155
2019,"J-13",155
2019,"I-13",155
2019,"H-13",155
2019,"F-14",156
2019,"F-13",157
2019,"F-12",157
2019,"E-12",157
2019,"E-11",157
2019,"F-11",157
2019,"G-11",158
2019,"H-11",158
2019,"I-11",158
2019,"J-11",158
2019,"L-09",159
2019,"K-09",159
2019,"J-09",159
2019,"I-09",159
2019,"H-09",159
2019,"G-09",160
2019,"F-09",160
2019,"J-19",181
2019,"JI1918",181
2019,"I-19",181
2019,"K-24",189
2019,"J-24",189
2019,"I-24",189
2019,"H-24",190
2019,"G-24",190
2019,"F-24",190
2019,"F-25",195
2019,"G-25",195
2019,"H-25",195
2019,"I-25",195
2019,"J-25",196
2019,"K-25",196
2019,"H-19",180
2019,"HG1918",180
2019,"G-19",180
2019,"GF1918",180
2019,"F-19",181
2019,"E-19",181
2019,"E-20",181
2019,"E-21",181
2019,"E-22",181
2019,"F-22",182
2019,"F-21",182
2019,"GF2221",182
2019,"F-20",184
2019,"G-20",184
2019,"HG2019",184
2019,"H-20",184
2019,"I-20",184
2019,"JI2019",185
2019,"J-20",185
2019,"K-20",185
2019,"L-20",185
2019,"P-19",186
2019,"O-19",186
2019,"N-19",186
2019,"M-19",186
2019,"M-20",187
2019,"N-20",187
2019,"O-20",187
2019,"P-20",187
2019,"Q-20",187
2019,"Q-21",188
2019,"P-21",188
2019,"O-21",188
2019,"N-21",188
2019,"M-24",189
2019,"L-24",189
2019,"N-05",165
2019,"N-04",165
